n,fanout,ttl,peer_limit,hybrid,pow_enabled,pow_k,seed,n_nodes_actual,coverage_pct,convergence_time_ms,message_overhead,pow_mean_ms,pow_std_ms
10,3,8,20,True,False,,1,10,100.0,2,50,,
10,3,8,20,True,False,,2,10,100.0,1,37,,
10,3,8,20,False,False,,1,10,100.0,2,45,,
10,3,8,20,False,False,,2,10,100.0,2,70,,
20,3,8,20,True,False,,1,20,100.0,2,118,,
20,3,8,20,True,False,,2,20,100.0,4,132,,
20,3,8,20,False,False,,1,20,100.0,1,58,,
20,3,8,20,False,False,,2,20,100.0,3,134,,
50,3,8,20,True,False,,1,50,100.0,3,184,,
50,3,8,20,True,False,,2,50,100.0,66,1534,,
50,3,8,20,False,False,,1,50,90.0,,520191,,
50,3,8,20,False,False,,2,50,92.0,,520147,,
