n,fanout,ttl,peer_limit,hybrid,pow_enabled,pow_k,seed,n_nodes_actual,coverage_pct,convergence_time_ms,message_overhead,pow_mean_ms,pow_std_ms
10,3,8,20,False,False,,1,20,50.0,,20030,,
10,3,8,20,False,False,,2,10,100.0,3,30,,
10,3,8,20,False,False,,3,10,100.0,3,50,,
10,3,8,20,False,False,,4,10,100.0,2,48,,
10,3,8,20,False,False,,5,10,100.0,2,48,,
20,3,8,20,False,False,,1,40,47.5,,198086,,
20,3,8,20,False,False,,2,20,100.0,2,69,,
20,3,8,20,False,False,,3,20,100.0,1,48,,
20,3,8,20,False,False,,4,20,100.0,2,84,,
20,3,8,20,False,False,,5,20,90.0,,83675,,
50,3,8,20,False,False,,1,100,47.0,,1239685,,
50,3,8,20,False,False,,2,50,88.0,,520150,,
50,3,8,20,False,False,,3,50,96.0,3,252,,
50,3,8,20,False,False,,4,50,94.0,,520334,,
50,3,8,20,False,False,,5,50,98.0,2,171,,
